open,high,low,close,date
422.58,422.675,422.505,422.675,2021-06-01 09:30:00
422.675,422.725,422.465,422.505,2021-06-01 09:31:00
422.505,422.565,422.365,422.465,2021-06-01 09:32:00
422.465,422.475,422.345,422.365,2021-06-01 09:33:00
422.365,422.535,422.365,422.425,2021-06-01 09:34:00
422.425,422.465,422.245,422.245,2021-06-01 09:35:00
422.245,422.245,422.005,422.005,2021-06-01 09:36:00
422.005,422.045,421.775,421.855,2021-06-01 09:37:00
421.855,421.925,421.755,421.785,2021-06-01 09:38:00
421.785,421.795,421.635,421.715,2021-06-01 09:39:00
421.715,421.835,421.65,421.745,2021-06-01 09:40:00
421.745,421.805,421.655,421.665,2021-06-01 09:41:00
421.665,421.715,421.555,421.575,2021-06-01 09:42:00
421.575,421.685,421.555,421.655,2021-06-01 09:43:00
421.655,421.675,421.585,421.585,2021-06-01 09:44:00
421.585,421.655,421.505,421.505,2021-06-01 09:45:00
421.505,421.645,421.345,421.635,2021-06-01 09:46:00
421.635,421.655,421.505,421.515,2021-06-01 09:47:00
421.515,421.565,421.355,421.425,2021-06-01 09:48:00
421.425,421.425,421.285,421.305,2021-06-01 09:49:00
421.305,421.405,421.265,421.285,2021-06-01 09:50:00
421.285,421.285,421.195,421.235,2021-06-01 09:51:00
421.235,421.305,421.185,421.265,2021-06-01 09:52:00
421.265,421.265,421.105,421.165,2021-06-01 09:53:00
421.165,421.245,421.135,421.245,2021-06-01 09:54:00
421.245,421.245,421.105,421.135,2021-06-01 09:55:00
421.135,421.155,420.98,421.095,2021-06-01 09:56:00
421.095,421.235,421.085,421.225,2021-06-01 09:57:00
421.225,421.335,421.195,421.315,2021-06-01 09:58:00
421.315,421.405,421.295,421.31,2021-06-01 09:59:00
421.31,421.515,421.285,421.465,2021-06-01 10:00:00
421.465,421.515,421.375,421.39,2021-06-01 10:01:00
421.39,421.475,421.305,421.405,2021-06-01 10:02:00
421.405,421.405,421.235,421.255,2021-06-01 10:03:00
421.255,421.255,421.075,421.075,2021-06-01 10:04:00
421.075,421.225,420.965,421.155,2021-06-01 10:05:00
421.155,421.275,421.145,421.185,2021-06-01 10:06:00
421.185,421.255,421.145,421.255,2021-06-01 10:07:00
421.255,421.265,421.165,421.215,2021-06-01 10:08:00
421.215,421.215,421.135,421.205,2021-06-01 10:09:00
421.205,421.215,421.005,421.045,2021-06-01 10:10:00
421.045,421.085,420.945,420.965,2021-06-01 10:11:00
420.965,421.015,420.735,420.765,2021-06-01 10:12:00
420.765,420.765,420.565,420.735,2021-06-01 10:13:00
420.735,420.755,420.455,420.485,2021-06-01 10:14:00
420.485,420.485,420.025,420.135,2021-06-01 10:15:00
420.135,420.175,420.035,420.085,2021-06-01 10:16:00
420.085,420.205,420.045,420.095,2021-06-01 10:17:00
420.095,420.245,420.065,420.235,2021-06-01 10:18:00
420.235,420.375,420.195,420.36,2021-06-01 10:19:00
420.36,420.36,420.185,420.245,2021-06-01 10:20:00
420.245,420.25,420.075,420.105,2021-06-01 10:21:00
420.105,420.185,419.915,420.055,2021-06-01 10:22:00
420.055,420.235,419.985,420.215,2021-06-01 10:23:00
